Module                  Size  Used by
mtd                    98304  3 spi_nor,cmdlinepart
libarc4                12288  1 mac80211
serio_raw              20480  0
soundcore              16384  2 snd_ctl_led,snd
intel_wmi_thunderbolt    16384  0
i2c_algo_bit           16384  1 i915
intel_pmc_core        118784  0
mei                   167936  5 mei_hdcp,mei_pxp,mei_me
wmi_bmof               12288  0
intel_pch_thermal      20480  0
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
mac_hid                12288  0
acpi_pad              184320  0
pmt_class              12288  1 pmt_telemetry
acer_wireless          16384  0
sch_fq_codel           24576  2
overlay               212992  0
iptable_filter         12288  0
ip6table_filter        12288  0
ip6_tables             36864  1 ip6table_filter
br_netfilter           32768  0
bridge                421888  1 br_netfilter
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
arp_tables             28672  0
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
ip_tables              32768  1 iptable_filter
x_tables               65536  9 ip6table_filter,xt_conntrack,iptable_filter,nft_compat,xt_addrtype,ip6_tables,ip_tables,xt_MASQUERADE,arp_tables
autofs4                57344  2
hid_generic            12288  0
nvme                   61440  2
intel_lpss_pci         28672  0
i2c_hid_acpi           12288  0
spi_intel_pci          12288  0
i2c_i801               36864  0
nvme_core             212992  3 nvme
r8169                 118784  0
xhci_pci               24576  0
intel_lpss             12288  1 intel_lpss_pci
ahci                   49152  0
crc32_pclmul           12288  0
i2c_hid                40960  1 i2c_hid_acpi
spi_intel              32768  1 spi_intel_pci
i2c_smbus              16384  1 i2c_i801
nvme_auth              28672  1 nvme_core
realtek                36864  1
idma64                 20480  0
xhci_pci_renesas       20480  1 xhci_pci
libahci                53248  1 ahci
hid                   180224  4 i2c_hid,usbhid,hid_multitouch,hid_generic
video                  77824  2 acer_wmi,i915
wmi                    28672  4 video,intel_wmi_thunderbolt,acer_wmi,wmi_bmof
pinctrl_cannonlake     36864  1
